"","MolecularWeight","XLogP","HydrogenBondDonorCount","HydrogenBondAcceptorCount","PolarSurfaceArea","FormalCharge","NumRings","RotatableBondCount","Refractivity","XLogP","Ro5","Ghose","Veber","Blood","Skin","Brain","Testis","AdiposeTissue","Muscle","Nerve","BloodVessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","AdrenalGland","Colon","Prostate","Spleen","Liver","FallopianTube","Ovary","Breast","Bladder","CervixUteri","SmallIntestine","SalivaryGland","lossFreq","maxBtwn","maxDegree","nTargets","wQED","response"
"Degarelix",1630.748797045,-1.41646910116321,17,18,512.87,0,8,41,431.128,0.0041,1,1,1,0,0.0527076777070761,0.116794764995575,0.0597528852522373,0.0282088201493025,0.010505803860724,0.128371380269527,0.0589503310620785,0.0236519519239664,0.0461287461221218,0.0879880115389824,0.042430367320776,0.174724370241165,2.87913691997528,0.0622297879308462,0.0680052116513252,0.194324679672718,0.0543887242674828,0.0867038778960705,0.0482965391129256,0.120442040264607,0.0601606741547585,0.0477656871080398,0.0549595672637224,0.116061583161354,0.0813789032399654,0.0955908298492432,0.0914453640580177,0.0586900897324085,0.155697450041771,0.431818181818182,321.672921010358,4,1,0.975,0
"Celecoxib",381.075882012,4.00944177433333,1,3,77.98,0,3,4,92.2342,0.00503,0,0,1,3.43729066848755,7.87803530693054,10,9.61530828475952,6.82548475265503,6.11311292648315,7.3589539527893,7.15762710571289,5.2066822052002,8.78080368041992,7.6841926574707,7.9600841999054,8.47154140472412,7.99528026580811,8.34743928909301,6.2359185218811,6.91270637512207,8.15534400939941,9.06544017791748,9.18468284606934,7.76148462295532,8.48514652252198,4.27169966697693,8.08798623085022,7.90298366546631,7.13326692581177,8.33575344085693,8.08269309997559,10,7.82736921310425,0.470588235294118,83205.3644142843,142,2,0.257,1
"Pradefovir mesylate",519.074433024,1.810939065,1,6,114.38,0,4,6,104.0648,0.0567,1,1,1,0.0282743647694588,0.246138088405133,0.0364755243062973,0.49432598054409,0.0785487592220306,0.0804857611656189,0.0656656585633754,0.0357428044080734,0.0293904691934586,0.0397459901869297,0.0826450735330582,0.148682773113251,0.0498967915773392,0.435832843184471,0.0421938765794038,2.34044027328491,0.0683248341083526,0.0567126274108887,0.283339738845825,0.359644040465355,0.0654752012342214,0.0469857435673475,10,0.0446414519101382,0.0663513243198395,0.118966314941645,0.038244154304266,0.0582019723951817,10,0.137826800346375,0.529411764705882,22319.6296434552,6,1,0.435,0
"Calcitriol",416.329045274,4.35074099666667,3,3,60.69,0,3,6,126.5325,0.00667,0,1,1,3.48122644424438,10,0.0774976164102554,0.713119477033615,1.62424397468567,0.764312326908112,0.465412274003029,1.39982414245605,0.182741925120354,5.04859447479248,1.16461515426636,5.92004323005676,1.49754327535629,9.87478351593015,0.566891998052597,0.690557420253754,4.94007158279419,1.01386106014252,5.8015444278717,10,1.42997956275939,1.72587114572525,0.245761267840862,0.818111687898636,0.2685606777668,4.1944682598114,2.80787110328674,2.52430939674377,10,5.01123476028442,0.451327433628319,44680.9782300356,150,1,0.465,0
"Docetaxel",807.346605409,2.916790955,5,10,224.45,0,6,13,203.9017,0.0127,1,1,1,3.25910687446594,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.5155553817749,10,10,10,10,10,10,10,0.691891891891892,243334.273788185,1034,5,0.853,0
"Bortezomib",384.196885774,1.5303,4,6,124.44,0,2,9,99.3738,0.0532,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.576923076923077,381103.737135098,2102,5,0.524,1
"Buprenorphine",467.303558805,3.54988075806769,2,5,62.16,0,7,5,131.7623,0.0168,0,1,1,0,0,0.877372145652771,1.15192675590515,0.0564833283424377,0.00491147069260478,0,0.0145697062835097,0.0200227089226246,0.00818270910531282,0,0,0.0213856864720583,0.0589153226464987,0,0,0,0.00690075987949967,0,0.0124551067128778,0.144849747419357,0.00765793700702489,0,0.00252236030064523,0.0078793689608574,0.00906145572662354,0.00749473413452506,0,0.00541607569903135,0.014543809928,0.671052631578947,11098.772774319,40,3,0.333,0
"Lapatinib",580.134731942,4.63850879833333,2,7,106.35,0,5,11,152.4172,0.0223,1,1,1,0.984902083873749,10,3.12739777565002,10,10,5.51056385040283,10,10,10,10,10,10,10,7.81743550300598,10,10,10,10,8.12995815277099,10,10,4.87684941291809,10,10,10,10,10,10,10,10,0.492537313432836,1872057.68607053,756,2,0.796,0
"Lorazepam",320.011932988,3.527325488,2,3,61.69,0,3,1,82.6992,0.0176,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.52991452991453,22304,28,17,0.151,0
"Capecitabine",359.149263656,0.768036046999999,3,6,120.69,0,2,7,82.746,0.248,0,0,1,4.46774625778198,10,3.35583400726318,10,2.42325329780579,0.495607256889343,2.5545619726181,2.70100688934326,1.44377243518829,4.94026851654053,4.98864698410034,6.84385275840759,4.1037826538086,3.76585435867309,2.75144255161285,3.05695033073425,6.51611542701722,3.61662316322327,4.08077239990235,10,5.00479984283447,10,2.10768842697144,2.24457436800003,3.06764507293701,4.03315854072571,3.34115982055664,3.67220163345337,9.63755702972412,7.71872901916504,0.536585365853659,0,2,1,0.371,0
