"","MolecularWeight","XLogP","HydrogenBondDonorCount","HydrogenBondAcceptorCount","PolarSurfaceArea","FormalCharge","NumRings","RotatableBondCount","Refractivity","XLogP","Ro5","Ghose","Veber","Blood","Skin","Brain","Testis","AdiposeTissue","Muscle","Nerve","BloodVessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","AdrenalGland","Colon","Prostate","Spleen","Liver","FallopianTube","Ovary","Breast","Bladder","CervixUteri","SmallIntestine","SalivaryGland","lossFreq","maxBtwn","maxDegree","nTargets","wQED","response"
"Ethopropazine",312.166019468,5.001186761,0,2,6.48,0,3,5,98.0021,0.00524,1,0,0,0.0799624919891357,0.561547219753265,8.41285133361816,0.32905687391758,0.0968896821141243,0.037200391292572,0.099421426653862,0.097507044672966,6.764817237854,1.19683969020844,0.476170390844345,0.0680238790810108,0.118163205683231,0.0613096505403519,0.0907859914004802,0.0675575360655785,0.153300903737545,0.323356717824936,0.0749126523733139,3.63066029548645,10,0.294659450650215,0.130754955112935,0.167142754420638,0.114592835307121,0.690105140209198,4.94029569625854,0.176632389426231,0.221445232629776,4.81108999252319,0.405660377358491,10900.3791572507,22,3,0.537,0
"Nimodipine",418.174001196,2.54190175266667,1,6,119.68,0,2,10,112.3756,0.012,0,0,1,3.05432367324829,10,10,7.3177433013916,10,10,10,9.1516695022583,9.25574493408203,10,8.71475410461426,3.43668222427369,10,10,10,2.42136168479919,10,6.64232635498047,8.67858934402465,9.50284957885743,8.40141677856445,6.39533925056458,6.55706238746643,9.73648643493654,10,10,10,10,8.14271259307861,8.46962261199951,0.543539325842697,40315.9422967518,104,10,0.731,0
"Progesterone",314.224580204,4.14860440066667,0,2,34.14,0,4,1,92.7053,0.00546,0,0,0,0.19178631901741,0.690925747156143,3.77818846702576,8.10669088363647,2.97948479652405,1.71246421337128,3.2560784816742,4.11264705657959,2.33955764770508,3.00571203231812,1.50866937637329,4.96346378326416,7.88033819198608,4.62075686454773,10,1.89683151245117,10,3.02105045318604,10,7.90298271179199,2.13158082962036,1.55529075860977,1.93741488456726,10,6.27317428588867,3.94400978088379,4.5702748298645,10,4.0087685585022,3.21037316322327,0.591111111111111,1307522.3643883,656,4,0.259,0
"Zoledronate",271.996323708,-3.85110856400227,5,8,153.11,0,1,4,52.1577,3.27,0,1,1,10,10,10,10,10,8.13507080078125,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5,345.350167356818,4,2,0.56,0
"Griseofulvin",352.071365983,2.17213745833333,0,6,71.06,0,3,3,87.8459,0.0504,0,0,1,0,0.0714029595255852,0,0.285741552710533,0.00933785364031792,0,0.0433871112763882,0.00620229821652174,0,0.0088775958865881,0,0,0.0120795019902289,0,0.0294047417119145,0,0.0515155363827944,0.0168180949985981,0,0.948725670576095,0.0113120870664716,0,0,0.0427367556840181,0.0307294260710478,0.0122535186819732,0.0315515324473381,0.0513904355466366,0.657483756542206,0.0179913118481636,0.568345323741007,0,0,2,0.435,1
"Nisoldipine",388.16343651,3.05979745766667,1,5,110.45,0,2,8,105.9089,0.00577,0,0,1,0.0710828304290771,2.796133518219,6.07165622711182,2.86153984069824,5.0775318145752,10,3.08949267864228,9.1516695022583,9.25574493408203,4.83775091171265,8.71475410461426,1.35887461900711,5.96821355819702,10,10,2.01929044723511,2.31113314628601,1.90829586982727,6.29083037376403,4.71932482719422,5.33134174346924,2.221275806427,1.16240227222443,6.59125876426697,6.82623338699341,2.69510936737061,7.40496158599854,3.26262593269348,3.77217745780945,2.04693174362183,0.543539325842697,40315.9422967518,104,5,0.585,0
"Eszopiclone",388.105066147,0.806543032999999,0,6,91.76,0,4,3,95.8855,0.885,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.52991452991453,22304,28,17,0.221,0
"Ceruletide",1351.448537843,-5.22780880866667,17,20,551.4,0,5,38,325.7435,0.0116,1,1,1,0,0,0.0463290475308895,0.159118510782718,0,0,0,0,0,0,0.0465300753712654,0,0,0,0.0177355604246259,0,0,7.82959222793579,0,0.0285432953387499,0,0,0,0,0,0.0120714199729264,0,0,0,0,0.487951807228916,566.800678186887,6,1,0.974,0
"Dexbrompheniramine",318.073161265,3.749658864,0,2,16.13,0,2,5,83.6683,0.0127,0,0,0,0.0157156065106392,3.65049242973328,0.821691572666168,0.468008607625962,2.63411927223206,0.206760287284851,4.43989658355713,3.86096787452698,0.277704060077667,1.86660015583038,1.18233644962311,0.49661885201931,0.802930653095245,0.22136789560318,1.70613306760788,0.12506876885891,2.75089883804321,0.407100766897202,0.269276529550552,2.13817012310028,1.1683464050293,0.453772112727165,0.050176028162241,2.2411761879921,1.7072057723999,2.0948315858841,2.01886439323425,2.54742860794067,1.58886682987213,0.826448142528534,0.392156862745098,0,0,2,0.435,1
"Loxapine",327.11383992,3.460602432,0,3,28.07,0,4,0,95.1111,0.103,0,0,0,0.00785051845014095,0.0784394182264805,1.91126656532288,0.774569302797317,0.164166629314423,0.120648145675659,1.24304395914078,1.69810593128204,0.0174489971250296,0.293754935264587,0.107775330543518,0.0505903251469136,0.11531138420105,10,0.304680526256561,0.0430054441094398,0.477318853139877,0.0784101635217667,0.166386596858501,0.101115141063928,0.539827048778534,0.0605549179017544,0.101497262716293,0.394031301140785,0.0762749090790749,0.688240379095078,0.529358446598053,0.280257523059845,0.17832139134407,6.04128122329712,0.557692307692308,47272.597854723,40,4,0.503,0
"Carbachol",182.082205441,-4.55468928613841,1,1,52.32,0,0,4,50.0222,0.948,0,1,1,0.0668535307049751,0.561547219753265,8.41285133361816,0.230370156466961,0.0114965038374066,0,0.0246242005378008,0.0101203778758645,6.764817237854,1.19683969020844,0.476170390844345,0.0680238790810108,0.0898524150252343,0.189404316246509,0.0478941611945629,0.0675575360655785,0.0818163864314556,0.323356717824936,0.150418795645237,3.63066029548645,10,0.041031040251255,0.130754955112935,0.167142754420638,0.0205432046204805,0.690105140209198,4.94029569625854,0.171207889914513,0.221445232629776,4.81108999252319,0.202127659574468,10900.3791572507,22,3,0.55,0
"Secobarbital",238.131742452,2.03383192533333,2,3,75.27,0,1,5,62.648,1.21,0,0,1,0.0813373923301697,0.174910083413124,10,2.01131224632263,0.264109760522842,0.372751176357269,2.60994362831116,0.335683554410934,0.731963157653809,0.379388749599457,0.852344751358032,1.29179081320763,1.45501261949539,10,3.42109394073486,0.69721794128418,0.453325733542442,1.33083987236023,0.179359748959541,0.356377825140953,0.817102193832397,0.809225529432297,10,9.40004491806032,0.814338088035583,0.324704557657241,0.756506621837616,0.63350760936737,1.23948872089386,0.274607092142105,0.52991452991453,24492.4526567676,46,10,0.431,0
"Miglustat",219.147058165,-1.178796231,4,5,84.16,0,1,4,55.7427,331,0,1,1,10,10,5.88062334060669,5.17949247360229,10,2.71367597579956,8.83916854858398,5.88187837600708,3.99382948875427,10,10,10,6.03097438812256,8.07133555412292,7.09439373016357,5.75718784332275,10,10,10,8.89641761779785,8.91631269454956,10,4.95968961715698,10,6.63653945922852,10,10,10,10,10,0.32,4509.91050623514,30,2,0.435,0
"Promazine",284.13471934,3.930955566,0,2,6.48,0,3,4,88.9515,0.0207,0,0,0,0.123829908668995,3.65049242973328,8.41285133361816,5.9803876876831,2.63411927223206,0.26058641076088,4.43989658355713,7.03880023956299,6.764817237854,3.40180540084839,1.18233644962311,1.02630242705345,1.49941474199295,10,1.9931126832962,0.574260592460632,2.75089883804321,0.513489544391632,1.18637484312057,3.63066029548645,10,7.96225595474243,7.43222904205322,3.19249641895295,2.30826163291931,2.0948315858841,4.94029569625854,5.4408802986145,2.16558861732483,6.04128122329712,0.557692307692308,47272.597854723,40,14,0.461,0
"Spironolactone",416.202130202,3.63675457733333,0,3,60.44,0,5,2,113.5043,0.00198,0,0,1,0.132114738225937,2.77078795433045,3.77818846702576,3.5325357913971,4.76463079452515,1.94394493103027,3.2560784816742,3.79786324501038,2.42849206924438,3.00571203231812,1.50866937637329,2.93046724796295,7.88033819198608,4.62075686454773,9.2317533493042,1.89683151245117,9.38414335250854,3.02105045318604,2.1130211353302,7.90298271179199,9.98084163665771,1.55529075860977,8.38041591644287,7.81022810935974,6.11490774154663,5.35506319999695,4.5702748298645,10,4.0087685585022,3.21037316322327,0.597701149425287,938299.325316589,488,2,0.349,0
"Methocarbamol",241.095022595,0.445046207333333,2,4,91.01,0,1,7,59.0674,4.21,0,0,1,7.81835222244263,0.0279394080862403,0.0438365861773491,0.0534362345933914,0.0311510823667049,0.0297379139810801,0.0274515524506569,0.0222398303449154,0.0315438620746136,0.194696635007858,0.0309316217899323,0.20471329241991,0.0603210385888815,0.0762358903884888,0.0420844722539186,0.0216416586190462,0.0530665889382362,0.0401441119611263,0.0589213501662016,10,0.0450792293995619,1.64412152767181,0.156351238489151,0.0321950241923332,0.0312880389392376,0.0578489601612091,0.0608407482504845,0.0423290878534317,0.145023003220558,0.0543364062905312,0.547368421052632,0,4,1,0.268,0
"Hyoscyamine",289.167793607,1.57124101666667,1,3,49.77,0,3,5,80.8164,2.52,0,0,1,0.0617754906415939,0.561547219753265,8.41285133361816,5.9803876876831,0.0935903489589691,0.018341900780797,0.0767650604248047,0.08125651627779,6.764817237854,1.19683969020844,0.476170390844345,0.132184702903032,0.162137411534787,1.1467337012291,0.109509080648423,0.493829697370529,0.0818163864314556,0.513489544391632,0.0643889512866735,3.63066029548645,10,4.86990714073181,0.130754955112935,0.167142754420638,0.225144267082214,0.690105140209198,4.94029569625854,0.171207889914513,2.16558861732483,4.81108999252319,0.271028037383178,23664.9424901665,22,4,0.155,0
"Zolpidem",307.168462309,3.01762682133333,0,2,37.61,0,3,3,93.5837,0.0313,0,0,0,0.00530689535662532,0.0113079822622239,10,0.569311827421188,0.167060434818268,0.00954096764326096,0.678922086954116,0.0466609559953213,0.00990200974047184,0.0148074040189385,0.0415108129382133,0.516874119639396,0.0246842419728637,0.0685028694570065,0.016520437784493,0.00760052260011435,0.178298078477383,0.0598098188638687,0.00357856403570622,0.301967322826385,0.0227572657167911,0.0845905505120754,0.00294360530097037,0.0113688879646361,0.0368443913757801,0.183468580245972,0.0954691469669342,0.133876994252205,0.266288846731186,0.102146215736866,0.390625,8267.84453297287,28,3,0.417,0
"Triprolidine",278.178298714,4.04515358866667,0,2,16.13,0,3,4,98.5253,0.0537,0,0,0,0.0157156065106392,3.65049242973328,0.821691572666168,0.468008607625962,2.63411927223206,0.206760287284851,4.43989658355713,3.86096787452698,0.277704060077667,1.86660015583038,1.18233644962311,0.49661885201931,0.802930653095245,0.22136789560318,1.70613306760788,0.12506876885891,2.75089883804321,0.407100766897202,0.269276529550552,2.13817012310028,1.1683464050293,0.453772112727165,0.050176028162241,2.2411761879921,1.7072057723999,2.0948315858841,2.01886439323425,2.54742860794067,1.58886682987213,0.826448142528534,0.392156862745098,0,0,1,0.287,0
"Streptozocin",265.090999849,-2.720285555,5,7,151.92,0,1,3,55.9552,33.5,0,1,1,0,0,0,0.106461975723505,0,0,0,0,0,0,0,5.48661398887634,0,0.0168005977757275,0,0.518943667411804,0,0,0,0,0,0,10,0,0.00606688018888235,0,0.0114653035998344,0.00838716607540846,4.7629861831665,0,0.454545454545455,647.395254473139,10,1,0.699,0
"Carboprost Tromethamine",489.330167485,2.89163108566667,3,5,100.82,0,1,15,115.946,0.0622,0,1,1,0,0.125835031270981,0.157329261302948,0.274090021848679,0.184772357344627,0.015907496213913,0.424540296196938,0.142863288521767,0.025071008130908,0.851239085197449,0.447361499071121,7.37661504745483,0.247941844165325,1.26909333467483,0.233108669519424,0.124500371515751,0.354644507169724,1.49686801433563,1.02170568704605,0.23578579723835,0.533472806215286,5.57788920402527,0.121959928423166,0.727995485067368,0.0326636135578156,0.164991736412049,0.416070193052292,0.341034829616547,1.11327183246613,0.190599650144577,0.386666666666667,33454,8,1,0.764,0
"Trifluridine",296.062006087,-0.754626497,3,5,99.1,0,2,3,56.3445,6.69,0,1,1,4.46774625778198,10,3.35583400726318,10,2.42325329780579,0.495607256889343,2.5545619726181,2.70100688934326,1.44377243518829,4.94026851654053,4.98864698410034,6.84385275840759,4.1037826538086,3.76585435867309,2.75144255161285,3.05695033073425,6.51611542701722,3.61662316322327,4.08077239990235,10,5.00479984283447,10,2.10768842697144,2.24457436800003,3.06764507293701,4.03315854072571,3.34115982055664,3.67220163345337,9.63755702972412,7.71872901916504,0.536585365853659,0,2,2,0.435,0
"Prochlorperazine",373.13794618,4.38211982133333,0,3,9.72,0,4,4,109.8064,0.011,0,0,0,0.00785051845014095,0.067573931068182,0.828758955001831,0.774569302797317,0.092959851026535,0.120648145675659,1.24304395914078,0.0563070140779018,0.0174489971250296,0.0362639464437962,0.107775330543518,0.0459560137242079,0.023290446959436,10,0.304680526256561,0.0430054441094398,0.258125238120556,0.038619764149189,0.0567827615886927,0.101115141063928,0.390641883015633,0.0131596415303648,0.00536650023423135,0.249922402203083,0.0762749090790749,0.688240379095078,0.0854959413409233,0.19167523086071,0.111094236373901,6.04128122329712,0.394230769230769,39011.4658066726,40,1,0.485,1
"Cyproheptadine",287.167399677,4.382841647,0,1,3.24,0,4,0,105.1742,0.0136,0,0,0,0.0157156065106392,3.65049242973328,8.41285133361816,0.650991708040237,2.63411927223206,0.206760287284851,4.43989658355713,3.86096787452698,6.764817237854,1.86660015583038,1.18233644962311,0.49661885201931,0.802930653095245,0.22136789560318,1.70613306760788,0.493829697370529,2.75089883804321,0.513489544391632,0.269276529550552,3.63066029548645,10,0.453772112727165,0.130754955112935,2.2411761879921,1.7072057723999,2.0948315858841,4.94029569625854,2.54742860794067,1.58886682987213,4.81108999252319,0.557692307692308,23664.9424901665,30,6,0.614,0
"Nitric Oxide",29.997988627,-0.3514,0,2,34.14,0,0,0,2.8858,0.0567,0,1,0,0,0.340523213148117,0.924752175807953,0.674377113580704,1.36859929561615,0.420980185270309,0.654563486576081,0.288242518901825,0.585315108299255,1.79038619995117,0.191736847162247,0.352593690156937,0.660855501890182,0.216382212936878,4.03439009189606,0.657609164714813,1.05501091480255,0.112443372607231,0.700791507959366,0.0939735732972622,0.680852770805358,0.8235504925251,0.143449433147907,2.98273557424546,0.312212944030762,0.783522605895996,0.301907986402512,3.33884048461914,0.14227357506752,0.265525192022324,0.309941520467836,1151.26256787474,16,2,0.435,0
"Bendroflumethiazide",421.037781946,1.69839601333333,3,5,118.36,0,3,4,93.6846,0.214,0,0,1,10,5.06750512123108,10,10,10,10,1.17972058057785,10,5.15844440460205,10,10,10,10,6.35488772392273,10,9.91035652160645,3.18833601474762,10,4.10955309867859,10,4.9628357887268,5.65174126625061,10,8.93274545669553,1.59474754333496,10,10,7.85428810119629,2.00199127197266,10,0.547368421052632,27332.2638012188,26,5,0.303,0
"Allopurinol",136.03851077,-1.75830637766667,2,5,65.85,0,2,0,54.2426,5.88,0,1,1,0,0.669732123613358,0.00595070514827967,0.0884418301284313,0.0160146504640579,0.0449981205165386,0.0055618800688535,0,0.00523982848972082,0.0649517551064491,0.0283786747604609,0.137945771217346,0.142572529613971,0.968810677528382,0.00736765190958977,0.165462002158165,0.552611991763115,0.0848129391670227,0,5.334463596344,0.747966527938843,0,10,0.0439518885686994,0.00440530618652701,0.569276928901672,1.20784556865692,0.0313123613595963,10,2.17507004737854,0.579567779960707,1212.45361557382,94,1,0.549,0
"Trimethoprim",290.137890462,1.28390733,2,7,105.51,0,2,5,81.5094,0.615,0,0,1,4.46774625778198,10,3.35583400726318,10,2.64909625053406,1.58745729923248,2.5545619726181,2.70100688934326,1.44377243518829,4.94026851654053,4.98864698410034,6.84385275840759,4.1037826538086,3.76585435867309,2.75144255161285,3.05695033073425,6.51611542701722,3.61662316322327,4.08077239990235,10,5.00479984283447,10,2.53152072429657,2.24457436800003,3.06764507293701,4.03315854072571,3.34115982055664,3.67220163345337,9.63755702972412,7.71872901916504,0.703703703703704,4335.98972022109,28,2,0.147,0
"Betamethasone",392.199902243,1.68156967966667,3,5,94.83,0,4,2,102.4929,0.0505,0,0,1,6.51916551589966,9.52912759780884,5.49671363830566,4.09500026702881,10,10,10,9.42045974731445,4.36838817596436,9.54195880889893,6.61841154098511,2.70279932022095,8.64496231079102,8.87772512435913,6.92344951629638,2.97645568847656,7.94568109512329,4.70953559875488,3.02599465847015,3.70062863826751,6.54469776153564,5.59508466720581,4.75985527038574,6.58644819259644,5.09590721130371,10,6.73441171646118,7.2821159362793,5.53861808776855,5.74537658691406,0.350282485875706,256392.74781158,268,1,0.332,0
"Teniposide",656.1563618,2.78402919233333,3,12,160.83,0,8,6,155.6095,0.0598,1,1,1,0.832667291164398,2.898108959198,0.0519454516470432,10,0.338461637496948,0.0452685952186584,0.232902429997921,0.205790728330612,0.157298818230629,1.15861546993256,0.82545918226242,0.281202554702758,0.299000293016433,0.0676195286214352,0.170647189021111,0.104524187743664,3.18607914447785,0.887116849422455,0.894613415002823,4.51282739639282,0.34113697707653,2.29606485366821,0.154950223863125,0.16980380564928,0.122039489448071,0.389409646391868,0.346370905637741,0.123274765908718,4.3239803314209,1.42528057098389,0.386986301369863,13574.6091645362,80,1,0.666,0
"Epirubicin",543.174060775,0.916421641538582,6,12,206.07,0,5,5,134.5937,1.18,1,1,1,6.12905788421631,6.52031445503235,2.62112069129944,10,8.59042263031006,4.5523157119751,8.60757541656494,5.96988534927368,2.82502889633179,8.52846145629883,4.95077514648438,4.49314904212951,7.36826872825623,6.64771151542664,8.0112943649292,4.09132385253906,6.63646674156189,5.14423274993896,4.27533102035522,7.0351357460022,6.70075821876526,8.31583547592163,3.66698002815246,8.82383537292481,10,9.02979373931885,7.38661050796509,7.9993782043457,8.50212955474854,5.96596145629883,0.386986301369863,13574.6091645362,80,2,0.802,1
"Chloramphenicol",322.012326918,0.878703488,3,5,115.38,0,1,6,73.2007,0.461,0,0,1,10,10,4.48168134689331,10,10,10,10,10,10,10,10,5.85993456840515,9.2851824760437,10,10,3.72504472732544,10,7.38006544113159,10,9.40552568435669,5.96919536590576,10,3.72493851184845,10,10,10,10,10,10,10,0.39047619047619,2828.14645270693,12,1,0.587,0
"Dipivefrin",351.204573043,3.714854507,2,4,84.86,0,1,9,94.9381,0.0582,0,0,1,2.3621232509613,5.37609219551086,2.4741895198822,5.41671943664551,10,2.87335348129272,8.15998554229737,2.60216164588928,2.78101205825806,10,5.88380718231201,1.25160771608353,6.01798009872437,1.04881238937378,6.59900760650634,10,10,2.47661280632019,0.997452557086945,5.04452586174011,4.62803292274475,9.75853061676024,10,10,10,10,5.55162382125854,10,4.16848421096802,5.83173942565918,0.565445026178011,89139.8620532447,74,4,0.471,1
"Droperidol",379.169605168,3.014257972,1,3,52.65,0,4,6,109.5173,0.0966,0,0,1,0.00785051845014095,0.067573931068182,0.828758955001831,0.774569302797317,1.03386116027832,0.120648145675659,1.24304395914078,0.209701538085938,1.22844254970551,1.570387840271,0.108890660107136,0.0505144987255335,0.0593994073569774,10,0.304680526256561,0.0430054441094398,0.258125238120556,0.190850824117661,0.0567827615886927,0.168666951358318,1.12680143117904,1.3919170498848,7.43222904205322,0.249922402203083,0.119209475815296,0.688240379095078,0.106480836868286,0.19167523086071,0.413444399833679,6.04128122329712,0.495495495495495,39011.4658066726,40,2,0.483,0
"Levothyroxine",776.686681525,3.72730706515079,3,4,92.78,0,2,5,126.788,0.00898,1,1,1,1.81361675262451,10,10,6.37204957008361,10,10,10,10,10,10,10,9.45511865615845,9.71705722808838,10,10,6.38133001327515,10,10,10,10,10,6.39309501647949,3.1680234670639,10,10,10,10,10,10,9.2127571105957,0.482758620689655,94034.3039005845,124,2,0.602,0
"Framycetin",614.312285588,-8.415177746,13,19,353.11,0,4,9,135.9003,64.7,1,1,1,10,1.15387505292893,3.32660818099976,2.65506815910339,10,1.04874777793884,10,7.82686805725098,2.33446645736694,10,4.39406490325928,4.29405403137207,10,10,5.86134696006775,1.5243364572525,10,10,10,9.93833017349242,10,10,4.42915010452271,10,2.9594395160675,10,10,10,10,10,0.298507462686567,49944.2180035827,94,1,0.875,0
"Pethidine",247.157228921,2.455800396,0,2,29.54,0,2,4,72.4837,1.11,0,0,0,0.0895176157355309,0.803008943796158,10,4.13413572311402,0.465724915266037,0.136866360902786,0.729082971811295,0.188915461301804,0.397306680679321,0.229248806834221,0.241972669959068,0.180015474557877,10,0.425898179411889,0.185675129294396,0.137951657176018,0.273187249898911,0.290863066911697,1.42721182107926,1.46748006343842,1.4858295917511,0.275650933384895,0.0723387338221073,0.429232880473137,0.26623609662056,0.451115414500237,0.215271100401878,0.219118967652321,0.571516573429108,1.31413555145264,0.463768115942029,72225.0238421342,90,6,0.235,0
"Loratadine",382.144805697,4.554579307,0,2,42.43,0,4,2,116.9769,0.0134,0,0,1,0.0157156065106392,3.65049242973328,0.821691572666168,0.468008607625962,2.63411927223206,0.206760287284851,4.43989658355713,3.86096787452698,0.277704060077667,1.86660015583038,1.18233644962311,0.49661885201931,0.802930653095245,0.22136789560318,1.70613306760788,0.12506876885891,2.75089883804321,0.407100766897202,0.269276529550552,2.13817012310028,1.1683464050293,0.453772112727165,0.050176028162241,2.2411761879921,1.7072057723999,2.0948315858841,2.01886439323425,2.54742860794067,1.58886682987213,0.826448142528534,0.392156862745098,0,0,2,0.435,0
"Prazosin",383.159354185,1.65051646266667,1,7,106.95,0,4,4,104.4981,0.693,0,0,1,0.510324656963348,0.978405892848969,5.89729404449463,10,1.91601145267487,0.173607915639877,2.54881191253662,7.03880023956299,10,3.40180540084839,4.42777156829834,4.84743428230286,1.49941474199295,10,10,0.717420101165771,2.20152306556701,2.79736661911011,1.18637484312057,7.74127793312073,6.67465567588806,7.96225595474243,7.43222904205322,5.58949494361877,2.1300094127655,1.39375591278076,5.34640407562256,5.4408802986145,2.83666038513184,0.368365675210953,0.7,48947.9770023894,22,6,0.266,0
"Imipramine",280.193948778,4.27856879433333,0,2,6.48,0,3,4,90.6056,0.0664,0,0,0,0.0842119008302689,3.65049242973328,10,5.9803876876831,2.63411927223206,0.665258169174194,4.43989658355713,3.86096787452698,6.764817237854,10,3.73051691055298,0.49661885201931,1.04649579524993,3.40817391872406,3.1661286354065,2.08981609344482,2.75089883804321,1.54299414157867,0.921533942222595,3.63066029548645,10,4.86990714073181,7.43222904205322,4.40286612510681,1.7072057723999,2.0948315858841,7.46541213989258,5.4408802986145,2.16558861732483,4.81108999252319,0.546511627906977,48542.275547692,30,13,0.458,0
"Acitretin",326.188194698,5.58704872566667,1,3,46.53,0,1,6,104.1665,0.000478,1,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.680851063829787,113800.697489801,1014,7,0.423,0
"Nabumetone",228.115029756,3.216993784,0,2,26.3,0,2,4,68.4311,0.00193,0,0,0,6.10240507125854,10,0.820853233337402,0.489034011960029,2.72289562225342,0.307841688394547,1.50513464212418,2.68502235412598,1.62564778327942,7.62326622009277,10,0.899970710277556,1.94542753696442,3.13609921932221,1.95850628614425,0.63782674074173,6.83462476730347,10,1.07871985435485,10,6.8059606552124,5.68096804618835,0.648787885904313,7.06550884246827,0.7822744846344,2.16210901737213,10,3.34028601646423,10,1.79864501953125,0.470588235294118,8170.88863179302,30,2,0.435,0
"Methylscopolamine bromide",397.088870908,-3.26738432147175,1,3,55.76,0,4,5,95.6349,0.0132,0,1,1,0.0090686148032546,0.561547219753265,8.41285133361816,0.393198236823082,0.016020342707634,0,0.0246242005378008,0.0308653824031353,6.764817237854,1.19683969020844,0.476170390844345,0.132184702903032,0.162137411534787,0.0622704979032278,0.0955363661050797,0.493829697370529,0.0818163864314556,0.513489544391632,0.033154683187604,3.63066029548645,10,0.100604671984911,0.130754955112935,0.167142754420638,0.225144267082214,0.690105140209198,4.94029569625854,0.171207889914513,0.286769807338715,4.81108999252319,0.23841059602649,23664.9424901665,22,3,0.643,0
"Sodium Tetradecyl Sulfate",294.186480138,5.305994364,1,3,63.6,0,0,14,78.1367,0.00262,1,0,1,0.3311448097229,10,3.02857351303101,3.95920288562775,10,1.59926295280457,10,10,10,10,9.4345874786377,9.95291566848756,10,5.41586899757386,10,2.1691300868988,10,4.24134254455566,5.48402214050293,7.13062620162964,5.83636283874512,7.70574474334717,10,10,10,10,8.11697292327881,10,9.517258644104,10,0.446009389671362,22674.0860095983,26,2,0.435,1
"Ketorolac",255.089543287,2.28336296366667,1,3,59.3,0,3,3,70.1945,0.513,0,0,1,6.10240507125854,10,0.820853233337402,0.489034011960029,2.72289562225342,0.307841688394547,1.50513464212418,2.68502235412598,1.62564778327942,7.62326622009277,10,0.899970710277556,1.94542753696442,3.13609921932221,1.95850628614425,0.63782674074173,6.83462476730347,10,1.07871985435485,10,6.8059606552124,5.68096804618835,0.648787885904313,7.06550884246827,0.7822744846344,2.16210901737213,10,3.34028601646423,10,1.79864501953125,0.470588235294118,8170.88863179302,30,2,0.143,0
"Enoxacin",320.128468635,-0.983051937309878,2,7,85.77,0,3,3,83.9469,1.09,0,1,1,0.832667291164398,2.898108959198,0.0519454516470432,10,0.338461637496948,0.0452685952186584,0.232902429997921,0.205790728330612,0.157298818230629,1.15861546993256,0.82545918226242,0.281202554702758,0.299000293016433,0.0676195286214352,0.170647189021111,0.104524187743664,3.18607914447785,0.887116849422455,0.894613415002823,4.51282739639282,0.34113697707653,2.29606485366821,0.154950223863125,0.16980380564928,0.122039489448071,0.389409646391868,0.346370905637741,0.123274765908718,4.3239803314209,1.42528057098389,0.386986301369863,13574.6091645362,80,1,0.247,0
"Quinine",324.183778022,2.51346395066667,1,4,45.59,0,4,4,94.6936,0.334,0,0,1,6.99236297607422,3.20188939571381,0.660202741622925,1.70655208826065,1.29587972164154,0.08620934933424,1.52438855171204,1.19319927692413,0.237398028373718,3.14150810241699,1.22162997722626,0.333452746272088,0.729862779378891,0.26447831094265,1.03544312715531,0.251208633184433,3.58014905452728,7.53379535675049,0.33872826397419,10,10,10,0.191079996526241,2.26593923568726,0.285594969987869,7.49379706382751,10,1.56744694709778,7.79456281661987,10,0.571428571428571,5513.23553480933,24,2,0.121,0
"Tenoxicam",337.019097235,1.22182698566667,2,6,99.6,0,3,2,93.0591,0.277,0,0,1,6.10240507125854,10,0.820853233337402,0.489034011960029,2.72289562225342,0.307841688394547,1.50513464212418,2.68502235412598,1.62564778327942,7.62326622009277,10,0.899970710277556,1.94542753696442,3.13609921932221,1.95850628614425,0.63782674074173,6.83462476730347,10,1.07871985435485,10,6.8059606552124,5.68096804618835,0.648787885904313,7.06550884246827,0.7822744846344,2.16210901737213,10,3.34028601646423,10,1.79864501953125,0.470588235294118,8170.88863179302,30,2,0.435,0
"Montelukast",585.21044242,8.49353306484999,2,4,70.42,0,5,12,169.5039,8.2e-06,1,1,1,10,1.40442264080048,2.37300324440002,2.1667252779007,7.72609758377075,0.62030953168869,7.75622510910034,3.61698484420776,2.01611304283142,10,5.40916013717651,3.61831974983215,2.60558199882507,1.25522589683532,3.46431756019592,7.97367811203003,4.1231302022934,4.81092500686646,4.29469752311707,6.33052635192871,8.39187526702881,10,1.98795586824417,6.58488726615905,1.39918673038483,8.60732889175415,10,4.35674428939819,10,8.45758247375488,0.458937198067633,23283.5032271073,10,2,0.838,0
