,X,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,XLogP.1,Ro5,Ghose,Veber,Blood,Skin,Brain,Testis,AdiposeTissue,Muscle,Nerve,BloodVessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,Vagina,Stomach,AdrenalGland,Colon,Prostate,Spleen,Liver,FallopianTube,Ovary,Breast,Bladder,CervixUteri,SmallIntestine,SalivaryGland,lossFreq,maxBtwn,maxDegree,nTargets,wQED,response,PC1,PC2,PC3
35,Prednisolone,360.193674,1.272989924,3,5,94.83,0,4,2,98.4933,0.239,0,0,1,6.519165516,9.529127598,5.496713638,4.095000267,10,10,10,9.420459747,4.368388176,9.541958809,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.025994658,3.700628638,6.544697762,5.595084667,4.75985527,6.586448193,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587,0.3502824859,256392.7478,268,1,0.304,1,2.94988952,0.761312217,0.5485669744
36,Gabapentin,171.1259288,-1.273033071,2,3,63.32,0,1,3,46.3283,4.34,0,1,1,0.2539445758,2.796133518,10,10,5.077531815,10,3.089492679,5.174119949,5.475377083,10,3.708843708,3.519646049,5.968213558,8.634950638,3.72723496,3.816341639,2.217499495,2.444914103,5.419082642,2.795779109,3.241554379,3.107958913,0.2263804525,3.336067557,3.520840883,2.695109367,5.251300335,2.623034716,1.346781492,2.046931744,0.435483871,7460.15069,32,4,0.478,0,-0.2124576499,-0.8145279806,-2.041326886
37,Lenalidomide,259.0956913,-0.707852159,2,4,92.5,0,3,1,68.2981,2.33,0,1,1,1.025086284,3.119722009,3.701131105,6.344938755,10,6.338674545,10,5.995434761,10,10,8.043983459,6.523864031,10,3.730526328,10,2.426759005,7.769799709,5.509750366,7.047891617,5.064837933,6.805960655,9.955050945,2.707627892,10,3.104855776,10,7.278105736,10,8.767349243,5.800363541,0.4705882353,51384.35476,48,3,0.542,1,3.395480483,1.317012887,0.647270451
38,Ropivacaine,274.2045135,4.070950219,1,2,32.34,0,2,4,85.5923,0.253,0,0,0,0,0,0,0.1905770674,0,0,0,0.007819256745,0.04648927227,0,0,0,0,0,0,0,0,0,0,0,0,0.007205453468,0,0,0,0,0,0.009817842394,0,0,0.5443548387,311.9238613,4,1,0.085,0,-6.030184936,-0.02148283616,-0.02445142954
39,Alprazolam,308.0828741,2.3741,0,3,43.07,0,4,1,98.879,0.0324,0,0,1,0.03983610123,10,10,5.317652941,10,0.9537071586,10,8.739851952,7.61603117,10,8.169617653,4.782308102,10,10,10,7.055880547,10,2.439117908,3.30552125,7.014136076,10,9.464316368,2.251888156,9.870306969,6.177269936,10,10,10,10,10,0.5299145299,8267.844533,28,16,0.308,0,4.58187603,1.472922443,0.4578179231
40,Pentoxifylline,278.1378905,0.2322058457,0,4,75.51,0,2,5,73.5223,5.17,0,0,1,3.974747896,9.687929153,10,10,9.545450211,5.087971687,10,10,3.795248985,7.692492485,10,3.519646049,10,4.500509024,10,4.368881702,10,7.491747379,3.108339906,8.504857063,10,7.171571016,8.393280983,10,10,10,9.375804901,10,7.262582779,6.40662241,0.5066666667,2345.318284,22,6,0.381,0,4.831169789,1.070093839,0.2530423603
41,Clofarabine,303.0534452,-0.2913217523,3,7,119.31,0,3,2,67.0021,4.89,0,0,1,2.557205439,10,6.049937725,10,10,10,9.591784954,10,6.274534225,8.821902275,10,4.482263088,7.255313396,8.143508434,9.191594124,5.044244289,10,8.775849342,10,9.596551895,8.324002266,7.574364901,3.06882298,8.300904036,9.692745209,10,10,10,8.224434853,10,0.4166666667,33604.75963,578,2,0.317,0,5.392360193,0.400869063,0.3504878818
42,Didanosine,236.0909403,-0.3516364083,2,6,88.74,0,3,2,58.5938,6.58,0,0,1,10,5.093683004,2.081238985,1.952978849,6.614348888,0.4965730309,3.106799245,2.984349966,1.809625268,7.619907379,4.159568787,10,3.736496449,4.003885031,2.701881647,2.144414425,9.083802223,8.014983177,3.210118175,8.966282368,2.336450458,8.905005455,5.127152205,4.796081066,0.7588121891,5.145497322,3.699792385,2.041403055,7.881886005,5.538740158,0.4776643991,1850.142689,18,1,0.407,0,0.4493805196,-1.631496279,1.958342419
43,Pentostatin,268.117155,-2.016391028,4,7,112.13,0,3,2,64.9814,10.7,0,1,1,5.721350193,4.86571002,1.445659399,2.951101422,8.893613815,1.465355873,3.215724468,2.078267336,4.465662479,3.874390602,4.176447392,1.791074991,4.096933603,1.037210703,2.770789266,1.712350488,3.525266647,10,3.875127435,2.389257073,3.01473856,10,1.293206275,4.281637192,1.260357857,4.8699193,2.315318823,3.437232494,4.024053097,3.811421871,0.5053763441,1275.002097,14,1,0.511,1,-0.9066530041,-0.6165318978,1.48127953
44,Galantamine,287.1521435,1.163042804,1,4,41.93,0,4,1,82.3049,1.7,0,0,1,1.468211412,2.687074184,10,4.517940044,2.665987492,10,3.007665992,2.321576118,3.679129839,3.62605238,5.883807182,4.229001999,7.338380337,10,6.599007607,4.837110519,3.368801117,1.978335381,10,4.312083483,6.240046263,4.034429312,10,10,2.201324463,3.125057101,2.283294678,6.333235741,4.156428337,4.454800129,0.6842105263,51784.02287,20,18,0.207,0,0.8185792833,-0.3644975995,-2.603234709
